name,host_id,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,days_since_last_review,price_bin,price_per_day,is_premium,price_log
Cozy Home in Amsterdam,420260037,Bos en Lommer,52.38261241,4.84798752,Entire Home,280.0,1,3,2025-04-20,0.41,1,187,3,73.0,$201-500,1.4893617021276595,False,5.638354669333745
Luxurious appartment in centre,516663804,Centrum-Oost,52.36224332,4.902168764,Entire Home,223.0,2,0,,0.0,1,0,0,4197.0,$201-500,223.0,False,5.4116460518550396
Charming & spacious 2-bedroom with garden,11814916,De Baarsjes - Oud-West,52.37211,4.86027,Entire Home,264.0,8,0,,0.0,1,43,0,4197.0,$201-500,6.0,False,5.579729825986222
Ground-floor 2-bedroom apartment,228208519,Centrum-Oost,52.377535,4.9069856,Entire Home,598.0,1,3,2024-12-25,0.4,6,0,3,189.0,$500+,598.0,True,6.395261598115449
Japandi Zen Sanctuary,32950523,Zuid,52.35399,4.84877,Entire Home,383.0,1,4,2025-05-31,0.6,1,228,4,32.0,$201-500,1.6724890829694323,True,5.950642552587727
Great apartment in top location,476923014,Zuid,52.35460617,4.882281724,Entire Home,275.0,2,1,2025-01-12,0.19,2,89,1,171.0,$201-500,3.0555555555555554,False,5.62040086571715
Bright & Spacious - Ground Floor + Garden,19449592,Oud-Noord,52.385,4.91749,Entire Home,175.0,3,5,2025-05-31,0.81,1,12,5,32.0,$101 -200,13.461538461538462,False,5.170483995038151
Modern apartment in top area,476923014,Zuid,52.36073977,4.880410071,Entire Home,350.0,3,4,2025-05-24,0.55,2,89,4,39.0,$201-500,3.888888888888889,False,5.860786223465865
Cozy and childfriendly home with garden!,26865959,Geuzenveld - Slotermeer,52.3794199,4.8286299,Entire Home,223.0,6,0,,0.0,1,0,0,4197.0,$201-500,223.0,False,5.4116460518550396
Appartement in de Jordaan,41385567,Centrum-West,52.38229,4.88324,Entire Home,207.0,3,1,2025-01-02,0.18,1,189,1,181.0,$201-500,1.0894736842105264,False,5.337538079701318
Canalfront Chic in City Heart,382641511,Centrum-Oost,52.359979,4.8952309,Private Room,152.0,1,17,2025-05-22,2.41,2,176,17,41.0,$101 -200,0.8587570621468926,False,5.030437921392435
Canalstreet Chic + Open Shower,382641511,Centrum-Oost,52.359979,4.8952309,Private Room,152.0,1,22,2025-05-20,3.42,2,178,22,43.0,$101 -200,0.8491620111731844,False,5.030437921392435
Stylish Duplex in the Heart of Amsterdam,162123544,Centrum-West,52.38317,4.88538,Entire Home,330.0,5,0,,0.0,1,90,0,4197.0,$201-500,3.6263736263736264,False,5.802118375377063
Unique City Centre Design Apt,2826715,Centrum-Oost,52.3651608,4.8827179,Entire Home,350.0,2,0,,0.0,1,294,0,4197.0,$201-500,1.1864406779661016,False,5.860786223465865
The Sarphati,364212667,Centrum-Oost,52.36182794,4.909426073,Entire Home,235.0,6,4,2025-05-17,1.36,1,268,4,46.0,$201-500,0.8736059479553904,False,5.4638318050256105
Houseboat Bnb in Amsterdam,15971092,Oostelijk Havengebied - Indische Buurt,52.37151251,4.949504795,Entire Home,184.0,1,0,,0.0,1,228,0,4197.0,$101 -200,0.8034934497816594,False,5.220355825078324
Amsterdam Lake Hotel - Economy Triple Room,535965005,Buitenveldert - Zuidas,52.32756622,4.818966579,Private Room,127.0,1,42,2025-05-27,5.75,5,303,42,36.0,$101 -200,0.41776315789473684,False,4.852030263919617
NIEUW! Herenhuis in het Museumkwartier,7542298,Zuid,52.35700611,4.876337295,Entire Home,1062.0,2,3,2025-06-01,0.54,1,34,3,31.0,$500+,30.34285714285714,True,6.968850378341948
Amsterdam Lake Hotel - Single Room No Window,535965005,Buitenveldert - Zuidas,52.32759,4.81891,Private Room,223.0,1,14,2025-05-30,1.81,5,312,14,33.0,$201-500,0.7124600638977636,False,5.4116460518550396
Cozy & quiet 2-bedroom apartment,24654584,Gaasperdam - Driemond,52.30659,4.97395,Entire Home,180.0,2,6,2025-06-09,0.82,1,137,6,23.0,$101 -200,1.3043478260869565,False,5.198497031265826
2-story roof terrace apartment,25123662,De Baarsjes - Oud-West,52.3695,4.86761,Entire Home,223.0,4,0,,0.0,1,9,0,4197.0,$201-500,22.3,False,5.4116460518550396
Cozy apartment with balcony in Oud-West,9450267,De Baarsjes - Oud-West,52.36072,4.86164,Entire Home,185.0,2,2,2025-06-01,2.0,1,107,2,31.0,$101 -200,1.712962962962963,False,5.225746673713202
Sfeervol appartement in de Pijp,328147839,De Pijp - Rivierenbuurt,52.35522823,4.900621608,Entire Home,238.0,2,7,2025-05-25,1.24,1,72,7,38.0,$201-500,3.26027397260274,False,5.476463551931511
Apartment in the pijp,151220027,De Pijp - Rivierenbuurt,52.35247305,4.900851846,Entire Home,223.0,2,2,2025-02-05,0.37,1,0,2,147.0,$201-500,223.0,False,5.4116460518550396
Beautiful Jordaan Family Home,111608886,Centrum-West,52.38127149,4.885017324,Entire Home,223.0,6,3,2025-05-08,0.54,1,1,3,55.0,$201-500,111.5,False,5.4116460518550396
Ruim appartement in Amsterdam,52020511,Noord-Oost,52.39477347,4.945037907,Entire Home,223.0,4,0,,0.0,1,0,0,4197.0,$201-500,223.0,False,5.4116460518550396
"Klaproosje
Bright and Spacious Amsterdam Loft Apt.",147245602,Oud-Noord,52.40047658,4.90334547,Entire Home,540.0,2,8,2025-04-15,1.29,1,37,8,78.0,$500+,14.210526315789474,True,6.293419278846481
Unique city center canal loft,659204437,Centrum-West,52.37547,4.88789,Entire Home,157.0,3,5,2025-05-11,0.9,1,12,5,52.0,$101 -200,12.076923076923077,False,5.062595033026967
Comfortable Loft | Rooftop Terrace,34202519,De Baarsjes - Oud-West,52.36008742,4.857083894,Entire Home,223.0,6,0,,0.0,2,0,0,4197.0,$201-500,223.0,False,5.4116460518550396
Roman’s Ark: an Oasis in a Metropolis,659241801,Noord-West,52.41158141,4.903516956,Entire Home,223.0,6,0,,0.0,1,0,0,4197.0,$201-500,223.0,False,5.4116460518550396
Cozy Studio - Amsterdam Center,29329336,Centrum-Oost,52.3643587,4.8843079,Entire Home,223.0,1,0,,0.0,1,0,0,4197.0,$201-500,223.0,False,5.4116460518550396
New: South residence at Rai area,114672005,De Pijp - Rivierenbuurt,52.34791,4.89079,Entire Home,256.0,2,2,2025-05-26,0.88,2,166,2,37.0,$201-500,1.532934131736527,False,5.54907608489522
Historical Amsterdam apartment,34397765,Centrum-West,52.3848014,4.8890078,Entire Home,159.0,3,3,2024-12-01,0.42,1,0,3,213.0,$101 -200,159.0,False,5.075173815233827
Chic waterfront stay with a view,659363375,IJburg - Zeeburgereiland,52.35084543,5.016436342,Entire Home,223.0,90,19,2025-04-24,2.73,1,0,19,69.0,$201-500,223.0,False,5.4116460518550396
Spacious Apartment in Amsterdam with Park View,14599740,Slotervaart,52.36169,4.84447,Entire Home,435.0,3,5,2025-06-09,0.89,1,41,5,23.0,$201-500,10.357142857142858,True,6.077642243349034
Luxury high end flat in hip area,7413680,De Pijp - Rivierenbuurt,52.35169,4.88722,Entire Home,315.0,2,6,2025-06-09,2.81,1,326,6,23.0,$201-500,0.963302752293578,False,5.755742213586912
